State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Odisha,GANJAM,Garlic,2002-03,Whole Year,200.0,Hectare,640.0,Tonnes,3.2
Odisha,GANJAM,Garlic,2003-04,Whole Year,210.0,Hectare,670.0,Tonnes,3.1904761904761907
Odisha,JAGATSINGHAPUR,Garlic,2001-02,Whole Year,80.0,Hectare,250.0,Tonnes,3.125
Odisha,JAGATSINGHAPUR,Garlic,2002-03,Whole Year,940.0,Hectare,3010.0,Tonnes,3.202127659574468
Odisha,JAGATSINGHAPUR,Garlic,2003-04,Whole Year,520.0,Hectare,1670.0,Tonnes,3.2115384615384617
Odisha,JAJAPUR,Garlic,2001-02,Whole Year,480.0,Hectare,1530.0,Tonnes,3.1875
Odisha,JAJAPUR,Garlic,2002-03,Whole Year,570.0,Hectare,1820.0,Tonnes,3.192982456140351
Odisha,JAJAPUR,Garlic,2003-04,Whole Year,620.0,Hectare,1990.0,Tonnes,3.2096774193548385
Odisha,JHARSUGUDA,Garlic,2001-02,Whole Year,130.0,Hectare,420.0,Tonnes,3.230769230769231
Odisha,JHARSUGUDA,Garlic,2002-03,Whole Year,110.0,Hectare,350.0,Tonnes,3.1818181818181817
Odisha,JHARSUGUDA,Garlic,2003-04,Whole Year,190.0,Hectare,600.0,Tonnes,3.1578947368421053
Odisha,KALAHANDI,Garlic,2001-02,Whole Year,490.0,Hectare,1550.0,Tonnes,3.163265306122449
Odisha,KALAHANDI,Garlic,2002-03,Whole Year,490.0,Hectare,1550.0,Tonnes,3.163265306122449
Odisha,KALAHANDI,Garlic,2003-04,Whole Year,430.0,Hectare,1350.0,Tonnes,3.13953488372093
Odisha,KANDHAMAL,Garlic,2001-02,Whole Year,80.0,Hectare,260.0,Tonnes,3.25
Odisha,KANDHAMAL,Garlic,2002-03,Whole Year,80.0,Hectare,260.0,Tonnes,3.25
Odisha,KANDHAMAL,Garlic,2003-04,Whole Year,110.0,Hectare,360.0,Tonnes,3.272727272727273
Odisha,KENDRAPARA,Garlic,2001-02,Whole Year,360.0,Hectare,1150.0,Tonnes,3.1944444444444446
Odisha,KENDRAPARA,Garlic,2002-03,Whole Year,600.0,Hectare,1920.0,Tonnes,3.2
Odisha,KENDRAPARA,Garlic,2003-04,Whole Year,690.0,Hectare,2190.0,Tonnes,3.1739130434782608
Odisha,KENDUJHAR,Garlic,2001-02,Whole Year,590.0,Hectare,1870.0,Tonnes,3.169491525423729
Odisha,KENDUJHAR,Garlic,2002-03,Whole Year,690.0,Hectare,2190.0,Tonnes,3.1739130434782608
Odisha,KENDUJHAR,Garlic,2003-04,Whole Year,960.0,Hectare,3060.0,Tonnes,3.1875
Odisha,KHORDHA,Garlic,2001-02,Whole Year,70.0,Hectare,220.0,Tonnes,3.142857142857143
Odisha,KHORDHA,Garlic,2002-03,Whole Year,290.0,Hectare,900.0,Tonnes,3.103448275862069
Odisha,KHORDHA,Garlic,2003-04,Whole Year,160.0,Hectare,500.0,Tonnes,3.125
Odisha,KORAPUT,Garlic,2001-02,Whole Year,160.0,Hectare,510.0,Tonnes,3.1875
Odisha,KORAPUT,Garlic,2002-03,Whole Year,150.0,Hectare,470.0,Tonnes,3.1333333333333333
Odisha,KORAPUT,Garlic,2003-04,Whole Year,170.0,Hectare,540.0,Tonnes,3.176470588235294
Odisha,MALKANGIRI,Garlic,2001-02,Whole Year,60.0,Hectare,190.0,Tonnes,3.1666666666666665
Odisha,MALKANGIRI,Garlic,2002-03,Whole Year,50.0,Hectare,160.0,Tonnes,3.2
